species,collection_date,coord_lat,coord_long,acclimation_start_date,heat_ramp_start_date,heat_ramp_end_date,thicket,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,biopsy_notes,collected_in_liquid_nitrogen,in_dna_rna_shield,sub_samples_taken,percent_growth_bw,calculated_sa,chlorophyll_ug_cm2,zooxanthellae_cells_cm2
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,250,gene,yes,3,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9589,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,290,gene,no,3,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.6096,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,138,gene,yes,4,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.4715,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,206,gene,yes,4,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.3423,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,211,gene,no,4,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.1978,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,236,gene,no,4,31C,3,2025-06-07,very easy to cut,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.0518,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,289,gene,no,4,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.1745,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,295,gene,yes,4,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.5173,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,153,gene,no,5,31C,3,2025-06-07,thin and easy to cut,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9124,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,212,gene,yes,5,31C,3,2025-06-07,low branch,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.7271,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,221,gene,yes,5,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.7678,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,239,gene,no,5,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9995,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,270,gene,yes,5,31C,3,2025-06-07,wound looks smoothed over/possible growing tip and coenosarc,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.6923,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,297,gene,no,5,31C,3,2025-06-07,thick fragment,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9821,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,194,gene,no,6,28C,3,2025-06-07,chlorophyll with branch,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.6226,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,208,gene,yes,6,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.425,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,220,gene,no,6,28C,3,2025-06-07,double tip,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.558,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,245,gene,yes,6,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.0344,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,281,gene,no,6,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.3598,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,282,gene,yes,6,28C,3,2025-06-07,wound looks covered in coenosarc,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.9886,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,157,gene,no,9,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.5341,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,187,gene,yes,9,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.2958,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,218,gene,yes,9,28C,3,2025-06-07,"wound edge smoothed over, growing tip present with coenosarc",yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,6.0337,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,229,gene,no,9,28C,3,2025-06-07,NA,NA,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.9712,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,271,gene,no,9,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,6.0976,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,272,gene,yes,9,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9531,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,155,gene,no,10,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.0822,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,193,gene,yes,10,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.5638,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,216,gene,yes,10,31C,3,2025-06-07,middle with small branch,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.2552,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,241,gene,no,10,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.4185,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,255,gene,no,10,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.5057,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,266,gene,yes,10,31C,3,2025-06-07,2 tips,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.72,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,112,gene,yes,11,31C,3,2025-06-07,2 tips,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.8071,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,168,gene,no,11,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.977,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,185,gene,no,11,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.993,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,219,gene,yes,11,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.9305,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,265,gene,yes,11,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.5224,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,284,gene,no,11,31C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.2268,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,167,gene,yes,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.7323,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,190,gene,no,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.1171,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,201,gene,no,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.8601,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,223,gene,yes,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.9189,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,273,gene,no,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.6096,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,301,gene,yes,12,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.6851,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,114,gene,no,3,28C,10,2025-06-14,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.2268,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,191,gene,yes,3,28C,10,2025-06-14,tip with extension,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.5064,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,204,gene,no,3,28C,10,2025-06-14,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.8885,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,258,gene,yes,3,28C,10,2025-06-14,tip with extension,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.8601,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,279,gene,no,3,28C,10,2025-06-14,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.9705,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,291,gene,yes,3,28C,10,2025-06-14,tip with extension,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,6.3068,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,136,gene,yes,4,31C,10,2025-06-14,"tip with extension, paling",yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,3.1752,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,142,gene,no,4,31C,10,2025-06-14,paling,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.6742,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,215,gene,yes,4,31C,10,2025-06-14,"tip exists barely, definitely smoothed over",yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.3779,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,230,gene,no,4,31C,10,2025-06-14,"paling, wound with branch",yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.7548,NA,NA
