date,day,treatment,tank,thicket ,wound,sample,id,location,F,M,Y,E,Fv/Fm,notes
2025-06-03 00:00:00,-1.0,31.0,11.0,a,yes,gene/physio,174.0,top,361.0,1004.0,640.0,4.3,=L88/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,a,yes,gene/physio,174.0,bottom,428.0,1278.0,665.0,6.1,=L89/100
2025-06-03 00:00:00,-1.0,31.0,11.0,c,yes,gene/physio,116.0,top,301.0,928.0,675.0,3.4,=L90/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,c,yes,gene/physio,116.0,bottom,465.0,1412.0,670.0,4.9,=L91/100
2025-06-03 00:00:00,-1.0,31.0,11.0,c,no,gene/physio,127.0,top,376.0,1200.0,686.0,4.1,=L92/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,c,no,gene/physio,127.0,bottom,494.0,1552.0,681.0,3.9,=L93/100
2025-06-03 00:00:00,-1.0,31.0,11.0,d,no,gene/physio,128.0,top,297.0,809.0,632.0,3.2,=L94/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,d,no,gene/physio,128.0,bottom,488.0,1402.0,651.0,4.6,=L95/100
2025-06-03 00:00:00,-1.0,31.0,11.0,d,yes,gene/physio,149.0,top,304.0,909.0,665.0,3.7,=L96/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,d,yes,gene/physio,149.0,bottom,456.0,1340.0,659.0,4.0,=L97/100
2025-06-04 00:00:00,0.0,28.0,3.0,a,no,gene/physio,162.0,top,382.0,978.0,609.0,3.6,=L98/100,"sat int (6), damp (2), out gain (6), measure int (6) for all data in this file"
2025-06-04 00:00:00,0.0,28.0,3.0,a,no,gene/physio,162.0,bottom,490.0,1353.0,637.0,4.0,=L99/100
2025-06-04 00:00:00,0.0,28.0,3.0,a,yes,gene/physio,172.0,top,286.0,768.0,627.0,3.8,=L100/100,
2025-06-04 00:00:00,0.0,28.0,3.0,a,yes,gene/physio,172.0,bottom,316.0,889.0,644.0,3.9,=L101/100
2025-06-04 00:00:00,0.0,28.0,3.0,c,yes,gene/physio,129.0,top,320.0,1188.0,730.0,4.4,=L102/100,
2025-06-04 00:00:00,0.0,28.0,3.0,c,yes,gene/physio,129.0,bottom,349.0,1171.0,701.0,5.2,=L103/100
2025-06-04 00:00:00,0.0,28.0,3.0,c,no,gene/physio,139.0,top,326.0,1065.0,693.0,4.8,=L104/100,
2025-06-04 00:00:00,0.0,28.0,3.0,c,no,gene/physio,139.0,bottom,463.0,1551.0,701.0,5.6,=L105/100
2025-06-04 00:00:00,0.0,28.0,3.0,d,yes,gene/physio,113.0,top,317.0,883.0,640.0,4.4,=L106/100,
2025-06-04 00:00:00,0.0,28.0,3.0,d,yes,gene/physio,113.0,bottom,441.0,1250.0,641.0,4.3,=L107/100
2025-06-04 00:00:00,0.0,28.0,3.0,d,no,gene/physio,156.0,top,296.0,938.0,684.0,4.2,=L108/100,
2025-06-04 00:00:00,0.0,28.0,3.0,d,no,gene/physio,156.0,bottom,456.0,1388.0,671.0,4.1,=L109/100
2025-06-04 00:00:00,0.0,28.0,6.0,a,no,gene/physio,169.0,top,276.0,891.0,690.0,8.1,=L110/100,
2025-06-04 00:00:00,0.0,28.0,6.0,a,no,gene/physio,169.0,bottom,404.0,1261.0,679.0,7.2,=L111/100
2025-06-04 00:00:00,0.0,28.0,6.0,a,yes,gene/physio,179.0,top,324.0,973.0,667.0,5.6,=L112/100,
2025-06-04 00:00:00,0.0,28.0,6.0,a,yes,gene/physio,179.0,bottom,433.0,1266.0,657.0,4.8,=L113/100
2025-06-04 00:00:00,0.0,28.0,6.0,c,yes,gene/physio,117.0,top,354.0,1170.0,697.0,10.0,=L114/100,
2025-06-04 00:00:00,0.0,28.0,6.0,c,yes,gene/physio,117.0,bottom,427.0,1422.0,699.0,8.6,=L115/100
2025-06-04 00:00:00,0.0,28.0,6.0,c,no,gene/physio,123.0,top,341.0,1110.0,692.0,9.5,=L116/100,
2025-06-04 00:00:00,0.0,28.0,6.0,c,no,gene/physio,123.0,bottom,415.0,1178.0,647.0,4.6,=L117/100
2025-06-04 00:00:00,0.0,28.0,6.0,d,no,gene/physio,145.0,top,104.0,321.0,676.0,2.9,=L118/100,
2025-06-04 00:00:00,0.0,28.0,6.0,d,no,gene/physio,145.0,bottom,234.0,649.0,639.0,2.7,=L119/100
2025-06-04 00:00:00,0.0,28.0,6.0,d,yes,gene/physio,146.0,top,312.0,999.0,687.0,3.9,=L120/100,
2025-06-04 00:00:00,0.0,28.0,6.0,d,yes,gene/physio,146.0,bottom,421.0,1252.0,663.0,4.7,=L121/100
2025-06-04 00:00:00,0.0,28.0,9.0,a,yes,gene/physio,166.0,top,378.0,1114.0,660.0,5.1,=L122/100,
2025-06-04 00:00:00,0.0,28.0,9.0,a,yes,gene/physio,166.0,bottom,327.0,1036.0,684.0,5.7,=L123/100
2025-06-04 00:00:00,0.0,28.0,9.0,a,no,gene/physio,173.0,top,312.0,1062.0,706.0,10.8,=L124/100,
2025-06-04 00:00:00,0.0,28.0,9.0,a,no,gene/physio,173.0,bottom,426.0,1352.0,684.0,2.8,=L125/100
2025-06-04 00:00:00,0.0,28.0,9.0,c,yes,gene/physio,121.0,top,385.0,1200.0,679.0,7.3,=L126/100,
2025-06-04 00:00:00,0.0,28.0,9.0,c,yes,gene/physio,121.0,bottom,470.0,1488.0,684.0,9.3,=L127/100
2025-06-04 00:00:00,0.0,28.0,9.0,c,no,gene/physio,131.0,top,304.0,917.0,668.0,11.2,=L128/100,
2025-06-04 00:00:00,0.0,28.0,9.0,c,no,gene/physio,131.0,bottom,437.0,1583.0,723.0,5.4,=L129/100
2025-06-04 00:00:00,0.0,28.0,9.0,d,yes,gene/physio,118.0,top,304.0,970.0,686.0,8.4,=L130/100,
2025-06-04 00:00:00,0.0,28.0,9.0,d,yes,gene/physio,118.0,bottom,299.0,945.0,683.0,9.7,=L131/100
2025-06-04 00:00:00,0.0,28.0,9.0,d,no,gene/physio,122.0,top,332.0,1001.0,668.0,8.7,=L132/100,
2025-06-04 00:00:00,0.0,28.0,9.0,d,no,gene/physio,122.0,bottom,406.0,1303.0,688.0,8.4,=L133/100
2025-06-04 00:00:00,0.0,28.0,12.0,a,no,gene/physio,176.0,top,284.0,806.0,647.0,3.6,=L134/100,
2025-06-04 00:00:00,0.0,28.0,12.0,a,no,gene/physio,176.0,bottom,392.0,1253.0,687.0,5.1,=L135/100
2025-06-04 00:00:00,0.0,28.0,12.0,a,yes,gene/physio,177.0,top,373.0,1176.0,682.0,3.8,=L136/100,
2025-06-04 00:00:00,0.0,28.0,12.0,a,yes,gene/physio,177.0,bottom,321.0,1020.0,685.0,4.8,=L137/100
2025-06-04 00:00:00,0.0,28.0,12.0,c,no,gene/physio,125.0,top,382.0,1166.0,672.0,3.0,=L138/100,
2025-06-04 00:00:00,0.0,28.0,12.0,c,no,gene/physio,125.0,bottom,345.0,1146.0,698.0,7.2,=L139/100
2025-06-04 00:00:00,0.0,28.0,12.0,c,yes,gene/physio,130.0,top,361.0,1150.0,686.0,4.0,=L140/100,
2025-06-04 00:00:00,0.0,28.0,12.0,c,yes,gene/physio,130.0,bottom,410.0,1316.0,688.0,3.8,=L141/100
2025-06-04 00:00:00,0.0,28.0,12.0,d,yes,gene/physio,144.0,top,290.0,878.0,669.0,5.9,=L142/100,
2025-06-04 00:00:00,0.0,28.0,12.0,d,yes,gene/physio,144.0,bottom,241.0,644.0,625.0,8.4,=L143/100
2025-06-04 00:00:00,0.0,28.0,12.0,d,no,gene/physio,147.0,top,353.0,941.0,624.0,3.3,=L144/100,
2025-06-04 00:00:00,0.0,28.0,12.0,d,no,gene/physio,147.0,bottom,393.0,1308.0,699.0,7.1,=L145/100
2025-06-04 00:00:00,0.0,31.0,4.0,a,yes,gene/physio,152.0,top,342.0,988.0,653.0,4.9,=L146/100,
2025-06-04 00:00:00,0.0,31.0,4.0,a,yes,gene/physio,152.0,bottom,391.0,1194.0,672.0,9.6,=L147/100
2025-06-04 00:00:00,0.0,31.0,4.0,a,no,gene/physio,165.0,top,273.0,631.0,567.0,8.0,=L148/100,
2025-06-04 00:00:00,0.0,31.0,4.0,a,no,gene/physio,165.0,bottom,410.0,1285.0,680.0,5.3,=L149/100
2025-06-04 00:00:00,0.0,31.0,4.0,c,yes,gene/physio,133.0,top,332.0,1003.0,668.0,8.2,=L150/100,
2025-06-04 00:00:00,0.0,31.0,4.0,c,yes,gene/physio,133.0,bottom,462.0,1350.0,657.0,2.7,=L151/100
2025-06-04 00:00:00,0.0,31.0,4.0,c,no,gene/physio,141.0,top,380.0,1256.0,697.0,7.1,=L152/100,
2025-06-04 00:00:00,0.0,31.0,4.0,c,no,gene/physio,141.0,bottom,449.0,1476.0,695.0,3.5,=L153/100
2025-06-04 00:00:00,0.0,31.0,4.0,d,yes,gene/physio,143.0,top,305.0,940.0,675.0,3.4,=L154/100,
2025-06-04 00:00:00,0.0,31.0,4.0,d,yes,gene/physio,143.0,bottom,354.0,1098.0,677.0,9.7,=L155/100
2025-06-04 00:00:00,0.0,31.0,4.0,d,no,gene/physio,150.0,top,300.0,979.0,693.0,9.5,=L156/100,
2025-06-04 00:00:00,0.0,31.0,4.0,d,no,gene/physio,150.0,bottom,354.0,1098.0,677.0,9.7,=L157/100
2025-06-04 00:00:00,0.0,31.0,5.0,a,no,gene/physio,161.0,top,261.0,703.0,628.0,9.0,=L158/100,
2025-06-04 00:00:00,0.0,31.0,5.0,a,no,gene/physio,161.0,bottom,400.0,1203.0,667.0,9.5,=L159/100
2025-06-04 00:00:00,0.0,31.0,5.0,a,yes,gene/physio,170.0,top,259.0,781.0,668.0,8.6,=L160/100,
2025-06-04 00:00:00,0.0,31.0,5.0,a,yes,gene/physio,170.0,bottom,318.0,932.0,658.0,6.2,=L161/100
2025-06-04 00:00:00,0.0,31.0,5.0,c,yes,gene/physio,115.0,top,432.0,1456.0,703.0,12.3,=L162/100,
2025-06-04 00:00:00,0.0,31.0,5.0,c,yes,gene/physio,115.0,bottom,423.0,1429.0,703.0,10.8,=L163/100
2025-06-04 00:00:00,0.0,31.0,5.0,c,no,gene/physio,124.0,top,230.0,665.0,654.0,6.9,=L164/100,
2025-06-04 00:00:00,0.0,31.0,5.0,c,no,gene/physio,124.0,bottom,468.0,1477.0,683.0,6.9,=L165/100
2025-06-04 00:00:00,0.0,31.0,5.0,d,yes,gene/physio,126.0,top,312.0,921.0,661.0,2.5,=L166/100,
2025-06-04 00:00:00,0.0,31.0,5.0,d,yes,gene/physio,126.0,bottom,363.0,1155.0,685.0,8.7,=L167/100
2025-06-04 00:00:00,0.0,31.0,5.0,d,no,gene/physio,154.0,top,201.0,600.0,665.0,8.9,=L168/100,
2025-06-04 00:00:00,0.0,31.0,5.0,d,no,gene/physio,154.0,bottom,491.0,1513.0,675.0,8.3,=L169/100
2025-06-04 00:00:00,0.0,31.0,10.0,a,yes,gene/physio,175.0,top,352.0,1228.0,713.0,3.2,=L170/100,
2025-06-04 00:00:00,0.0,31.0,10.0,a,yes,gene/physio,175.0,bottom,408.0,1245.0,672.0,2.9,=L171/100
2025-06-04 00:00:00,0.0,31.0,10.0,a,no,gene/physio,178.0,top,238.0,731.0,674.0,2.6,=L172/100,
2025-06-04 00:00:00,0.0,31.0,10.0,a,no,gene/physio,178.0,bottom,447.0,1337.0,665.0,6.7,=L173/100
2025-06-04 00:00:00,0.0,31.0,10.0,c,no,gene/physio,119.0,top,396.0,1269.0,687.0,3.8,=L174/100,
2025-06-04 00:00:00,0.0,31.0,10.0,c,no,gene/physio,119.0,bottom,563.0,1891.0,702.0,3.4,=L175/100
2025-06-04 00:00:00,0.0,31.0,10.0,c,no,gene/physio,132.0,top,278.0,1031.0,730.0,6.1,=L176/100,
2025-06-04 00:00:00,0.0,31.0,10.0,c,no,gene/physio,132.0,bottom,399.0,1426.0,720.0,3.6,=L177/100
2025-06-04 00:00:00,0.0,31.0,10.0,d,yes,gene/physio,110.0,top,329.0,1042.0,684.0,4.7,=L178/100,
2025-06-04 00:00:00,0.0,31.0,10.0,d,yes,gene/physio,110.0,bottom,442.0,1435.0,691.0,3.4,=L179/100
2025-06-04 00:00:00,0.0,31.0,10.0,d,no,gene/physio,120.0,top,313.0,909.0,655.0,3.6,=L180/100,
2025-06-04 00:00:00,0.0,31.0,10.0,d,no,gene/physio,120.0,bottom,417.0,1285.0,675.0,3.1,=L181/100
2025-06-04 00:00:00,0.0,31.0,11.0,a,no,gene/physio,163.0,top,357.0,1258.0,716.0,3.6,=L182/100,
2025-06-04 00:00:00,0.0,31.0,11.0,a,no,gene/physio,163.0,bottom,555.0,1889.0,706.0,3.2,=L183/100
2025-06-04 00:00:00,0.0,31.0,11.0,a,yes,gene/physio,174.0,top,379.0,1254.0,697.0,5.9,=L184/100,
2025-06-04 00:00:00,0.0,31.0,11.0,a,yes,gene/physio,174.0,bottom,507.0,1528.0,668.0,3.3,=L185/100
2025-06-04 00:00:00,0.0,31.0,11.0,c,yes,gene/physio,116.0,top,360.0,1133.0,682.0,8.2,=L186/100,
2025-06-04 00:00:00,0.0,31.0,11.0,c,yes,gene/physio,116.0,bottom,567.0,1882.0,698.0,6.2,=L187/100
2025-06-04 00:00:00,0.0,31.0,11.0,c,no,gene/physio,127.0,top,339.0,1083.0,686.0,9.2,=L188/100,
2025-06-04 00:00:00,0.0,31.0,11.0,c,no,gene/physio,127.0,bottom,512.0,1700.0,698.0,10.5,=L189/100
2025-06-04 00:00:00,0.0,31.0,11.0,d,no,gene/physio,128.0,top,252.0,779.0,676.0,2.7,=L190/100,
2025-06-04 00:00:00,0.0,31.0,11.0,d,no,gene/physio,128.0,bottom,359.0,1095.0,672.0,7.6,=L191/100
2025-06-04 00:00:00,0.0,31.0,11.0,d,yes,gene/physio,149.0,top,303.0,1010.0,700.0,3.5,=L192/100,
2025-06-04 00:00:00,0.0,31.0,11.0,d,yes,gene/physio,149.0,bottom,458.0,1431.0,679.0,3.5,=L193/100
2025-06-07 00:00:00,3.0,28.0,3.0,a,no,gene/physio,162.0,top,444.0,1291.0,656.0,6.1,=L194/100,"sat int (6), damp (2), out gain (6), measure int (6) for all data in this file"
2025-06-07 00:00:00,3.0,28.0,3.0,a,no,gene/physio,162.0,bottom,637.0,1892.0,663.0,4.4,=L195/100
2025-06-07 00:00:00,3.0,28.0,3.0,a,yes,gene/physio,172.0,top,370.0,1077.0,656.0,3.9,=L196/100
2025-06-07 00:00:00,3.0,28.0,3.0,a,yes,gene/physio,172.0,bottom,596.0,1722.0,653.0,4.0,=L197/100
2025-06-07 00:00:00,3.0,28.0,3.0,c,yes,gene/physio,129.0,top,403.0,1273.0,683.0,4.3,=L198/100
2025-06-07 00:00:00,3.0,28.0,3.0,c,yes,gene/physio,129.0,bottom,494.0,1594.0,690.0,3.8,=L199/100
2025-06-07 00:00:00,3.0,28.0,3.0,c,no,gene/physio,139.0,top,396.0,1238.0,680.0,3.5,=L200/100
2025-06-07 00:00:00,3.0,28.0,3.0,c,no,gene/physio,139.0,bottom,431.0,1388.0,689.0,2.7,=L201/100
2025-06-07 00:00:00,3.0,28.0,3.0,d,yes,gene/physio,113.0,top,260.0,698.0,627.0,4.4,=L202/100
2025-06-07 00:00:00,3.0,28.0,3.0,d,yes,gene/physio,113.0,bottom,558.0,1631.0,657.0,3.1,=L203/100
2025-06-07 00:00:00,3.0,28.0,3.0,d,no,gene/physio,156.0,top,280.0,753.0,628.0,4.1,=L204/100
2025-06-07 00:00:00,3.0,28.0,3.0,d,no,gene/physio,156.0,bottom,537.0,1753.0,693.0,3.8,=L205/100
2025-06-07 00:00:00,3.0,28.0,6.0,a,no,gene/physio,169.0,top,316.0,1031.0,693.0,4.1,=L206/100
2025-06-07 00:00:00,3.0,28.0,6.0,a,no,gene/physio,169.0,bottom,527.0,1540.0,657.0,3.0,=L207/100
2025-06-07 00:00:00,3.0,28.0,6.0,a,yes,gene/physio,179.0,top,331.0,1190.0,721.0,4.5,=L208/100
2025-06-07 00:00:00,3.0,28.0,6.0,a,yes,gene/physio,179.0,bottom,495.0,1574.0,685.0,3.5,=L209/100
