description,domain,response,model_type,term,test,statistic,df1,df2,n,estimate,units,pct_change,ci_low,ci_high,p_value,qualitative,source_script,source_artifact
"Confirmatory / exploratory testing: exploratory — morph:polyps_out : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:polyps_out : treatment,reported p,0.7791,NA,NA,NA,0.7791,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.0866,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — morph:wound_smoothed : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:wound_smoothed : treatment,reported p,0.9994,NA,NA,NA,0.9994,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.9994,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Healing milestone lag: hole_in_center -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,hole_in_center -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),9,NA,NA,12,9,days,0,8,9,NA,28C: 0% closed but never regenerated; median lag 9 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: hole_in_center -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,hole_in_center -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),11,NA,NA,4,11,days,66.7,10.5,11,NA,31C: 67% closed but never regenerated; median lag 11 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),8,NA,NA,12,8,days,0,7.5,8.25,NA,28C: 0% closed but never regenerated; median lag 8 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),10,NA,NA,4,10,days,66.7,9.5,10,NA,31C: 67% closed but never regenerated; median lag 10 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> tip_extension — 28C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"28C (n closed=12, reached both=11)",median lag (days),4,NA,NA,11,4,days,8.3,3,4,NA,28C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Healing milestone lag: wound_smoothed -> tip_extension — 31C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"31C (n closed=12, reached both=11)",median lag (days),4,NA,NA,11,4,days,8.3,4,5,NA,31C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R,output/tables/14_milestone_lag_summary.csv
"Morphology: Hole in center — day [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),day,Wald chi-sq,36.9615,3,NA,NA,NA,NA,NA,NA,NA,0,day effect on hole_in_center (significant),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),day:thicket,Wald chi-sq,2.2977,2,NA,NA,NA,NA,NA,NA,NA,0.317,day:thicket effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — thicket [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),thicket,Wald chi-sq,5.8935,5,NA,NA,NA,NA,NA,NA,NA,0.3167,thicket effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — treatment [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),treatment,Wald chi-sq,0.7621,4,NA,NA,NA,NA,NA,NA,NA,0.9435,treatment effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — treatment:day [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),treatment:day,Wald chi-sq,0.0125,1,NA,NA,NA,NA,NA,NA,NA,0.911,treatment:day effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — treatment:day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),treatment:day:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:day:thicket effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — treatment:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Hole in center,GLMM (binomial),treatment:thicket,Wald chi-sq,0.45,2,NA,NA,NA,NA,NA,NA,NA,0.7985,treatment:thicket effect on hole_in_center (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Hole in center — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,2578.6075,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketc,Wald z,-2469.0665,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketd,Wald z,-2340.0577,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketc,Wald z,7250.4337,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketd,Wald z,6884.3882,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C,Wald z,-52.9299,NA,NA,NA,-0.4087,log-odds,-33.5481,-0.4238,-0.3936,0,"fixed: treatment31C: OR=0.66 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day,Wald z,72.0824,NA,NA,NA,0.5566,log-odds,74.4746,0.5415,0.5717,0,"fixed: treatment31C:day: OR=1.74 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C:day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketc,Wald z,-73.664,NA,NA,NA,-0.5688,log-odds,-43.3804,-0.5839,-0.5537,0,"fixed: treatment31C:day:thicketc: OR=0.57 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C:day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketd,Wald z,2306.285,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketc,Wald z,81.7835,NA,NA,NA,0.6315,log-odds,88.049,0.6164,0.6467,0,"fixed: treatment31C:thicketc: OR=1.88 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — fixed: treatment31C:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Hole in center,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketd,Wald z,-6973.9726,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Hole in center — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Hole in center,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0,NA,NA,NA,0,probability,0,NA,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: New corallites on tip — day [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),day,Wald chi-sq,15.0077,3,NA,NA,NA,NA,NA,NA,NA,0.0018,day effect on new_corallites_on_tip (significant),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),day:thicket,Wald chi-sq,2.2539,2,NA,NA,NA,NA,NA,NA,NA,0.324,day:thicket effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — thicket [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),thicket,Wald chi-sq,3.15,3,NA,NA,NA,NA,NA,NA,NA,0.3691,thicket effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — treatment [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),treatment,Wald chi-sq,1.7837,2,NA,NA,NA,NA,NA,NA,NA,0.4099,treatment effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — treatment:day [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),treatment:day,Wald chi-sq,0.1373,1,NA,NA,NA,NA,NA,NA,NA,0.711,treatment:day effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — treatment:day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),treatment:day:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:day:thicket effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — treatment:thicket [GLMM (binomial), Wald chi-sq]",Morphology,New corallites on tip,GLMM (binomial),treatment:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:thicket effect on new_corallites_on_tip (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: New corallites on tip — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,7639.9968,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketc,Wald z,-7272.234,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketd,Wald z,-1.0444,NA,NA,NA,-0.0056,log-odds,-0.5543,-0.016,0.0049,0.2963,"fixed: day:thicketd: OR=0.99 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketc,Wald z,80121.8814,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketd,Wald z,0.9373,NA,NA,NA,0.005,log-odds,0.4975,-0.0054,0.0153,0.3486,"fixed: thicketd: OR=1.00 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C,Wald z,80167.1297,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day,Wald z,-7627.2059,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C:day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketc,Wald z,7675.0823,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C:day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketd,Wald z,118.915,NA,NA,NA,0.6329,log-odds,88.3089,0.6225,0.6433,0,"fixed: treatment31C:day:thicketd: OR=1.88 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketc,Wald z,-81037.5574,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — fixed: treatment31C:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,New corallites on tip,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketd,Wald z,3032.2678,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: New corallites on tip — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,New corallites on tip,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,-0,NA,NA,NA,-0,probability,-0,NA,NA,NA,P(28C)=0.00 vs P(31C)=0.00; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Pigment over wound — day [GLMM (binomial), Wald chi-sq]",Morphology,Pigment over wound,GLMM (binomial),day,Wald chi-sq,7.688,3,NA,NA,NA,NA,NA,NA,NA,0.0529,day effect on pigment_over_wound (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Pigment over wound — day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Pigment over wound,GLMM (binomial),day:thicket,Wald chi-sq,5.2912,2,NA,NA,NA,NA,NA,NA,NA,0.071,day:thicket effect on pigment_over_wound (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Pigment over wound — thicket [GLMM (binomial), Wald chi-sq]",Morphology,Pigment over wound,GLMM (binomial),thicket,Wald chi-sq,6.251,3,NA,NA,NA,NA,NA,NA,NA,0.1,thicket effect on pigment_over_wound (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
