Domain,Response,Model,Term,Test,Statistic,df,N,Estimate,% change,95% CI,p,Interpretation,Source
Physiology,Symbiont density (cells cm-2),raw summary,"mean(31C, day 1)",mean,750659.87,NA,24,750659.869 cells cm-2,NA,NA,NA,"31C, biopsy day 1: 7.51e+05 cells cm-2 (n=24)",code/06_symbiont_chl.R (raw)
Physiology,Symbiont density (cells cm-2),raw summary,"mean(31C, day 15)",mean,208909.48,NA,24,208909.480 cells cm-2,NA,NA,NA,"31C, biopsy day 15: 2.09e+05 cells cm-2 (n=24)",code/06_symbiont_chl.R (raw)
Physiology,log10 symbionts cm-2,LMM,R2_conditional,R-squared,0.76,NA,NA,0.758 proportion,NA,NA,NA,R2_conditional = 0.758,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,R2_marginal,R-squared,0.72,NA,NA,0.719 proportion,NA,NA,NA,R2_marginal = 0.719,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,biopsy_day_c,ANOVA F,123.69,1,NA,NA,NA,NA,NA,biopsy_day_c effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,biopsy_day_c:thicket,ANOVA F,8.74,2,NA,NA,NA,NA,NA,biopsy_day_c:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=a | wound=no,Satterthwaite t,8.71,81,NA,2.636 ,-43.8%,"[2.04, 3.23]",<0.001,"Genet a, unwounded: lower under 31C (-43.8%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=a | wound=yes,Satterthwaite t,7.63,81,NA,2.309 ,-38.6%,"[1.72, 2.90]",<0.001,"Genet a, wounded: lower under 31C (-38.6%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=c | wound=no,Satterthwaite t,3.49,75,NA,1.023 ,-17.0%,"[0.45, 1.60]",<0.001,"Genet c, unwounded: lower under 31C (-17.0%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=c | wound=yes,Satterthwaite t,2.52,90,NA,0.798 ,-13.3%,"[0.18, 1.42]",0.013,"Genet c, wounded: lower under 31C (-13.3%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=d | wound=no,Satterthwaite t,8.45,81,NA,2.558 ,-43.1%,"[1.96, 3.15]",<0.001,"Genet d, unwounded: lower under 31C (-43.1%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,contrast: 28C - 31C | genet=d | wound=yes,Satterthwaite t,6.62,81,NA,2.005 ,-33.6%,"[1.41, 2.60]",<0.001,"Genet d, wounded: lower under 31C (-33.6%)",code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,thicket,ANOVA F,20.68,2,NA,NA,NA,NA,NA,thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment,ANOVA F,48.83,1,NA,NA,NA,NA,NA,treatment effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:biopsy_day_c,ANOVA F,94.67,1,NA,NA,NA,NA,NA,treatment:biopsy_day_c effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:biopsy_day_c:thicket,ANOVA F,6.32,2,NA,NA,NA,NA,NA,treatment:biopsy_day_c:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:thicket,ANOVA F,16.16,2,NA,NA,NA,NA,NA,treatment:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:wound,ANOVA F,0.44,1,NA,NA,NA,NA,NA,treatment:wound effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:wound:biopsy_day_c,ANOVA F,1.89,1,NA,NA,NA,NA,NA,treatment:wound:biopsy_day_c effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:wound:biopsy_day_c:thicket,ANOVA F,0.21,2,NA,NA,NA,NA,NA,treatment:wound:biopsy_day_c:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,treatment:wound:thicket,ANOVA F,0.51,2,NA,NA,NA,NA,NA,treatment:wound:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,wound,ANOVA F,0.63,1,NA,NA,NA,NA,NA,wound effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,wound:biopsy_day_c,ANOVA F,0.15,1,NA,NA,NA,NA,NA,wound:biopsy_day_c effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,wound:biopsy_day_c:thicket,ANOVA F,0.14,2,NA,NA,NA,NA,NA,wound:biopsy_day_c:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log10 symbionts cm-2,LMM,wound:thicket,ANOVA F,1.52,2,NA,NA,NA,NA,NA,wound:thicket effect on log10 symbionts cm-2NA,code/12_extended_stats.R
Physiology,log_zoox,LRT (null vs genet x trt),LRT: adding genet x treatment x wound x day,LRT chi-sq,73.57,15,192,-43.570 delta AIC,NA,NA,<0.001,Adding genet x trt improves fit by dAIC=-43.6 (sig),code/13_genet_interaction.R
Survival,Hole in center,Cox PH,HR 31C/28C [genet=a],Wald z,0.51,1,8,1.440 hazard ratio,+44.0%,"[0.36, 5.83]",0.610,"hole_in_center: no detectable change under 31C (HR=1.44, n.s.)",code/14_morphology_kaplan.R
Survival,Hole in center,Cox PH,HR 31C/28C [genet=c],Wald z,0.27,1,8,1.209 hazard ratio,+20.9%,"[0.30, 4.88]",0.789,"hole_in_center: no detectable change under 31C (HR=1.21, n.s.)",code/14_morphology_kaplan.R
Survival,Hole in center,Cox PH,HR 31C/28C [genet=d],Wald z,0.55,1,8,1.523 hazard ratio,+52.3%,"[0.34, 6.88]",0.584,"hole_in_center: no detectable change under 31C (HR=1.52, n.s.)",code/14_morphology_kaplan.R
Survival,Hole in center,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,0.76,1,24,1.378 hazard ratio,+37.8%,"[0.60, 3.15]",0.447,"hole_in_center: no detectable change under 31C (HR=1.38, n.s.)",code/14_morphology_kaplan.R
Survival,Hole in center,Cox PH,LRT: genet main effect,LRT chi-sq,1.13,2,NA,NA,NA,NA,0.567,Genet main effect on hole_in_center healing: n.s.,code/14_morphology_kaplan.R
Survival,Hole in center,Cox PH,LRT: genet x treatment,LRT chi-sq,0.02,2,NA,NA,NA,NA,0.989,Genet x treatment on hole_in_center healing: n.s.,code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,HR 31C/28C [genet=a],Wald z,-0.00,1,8,0.000 hazard ratio,-100.0%,"[0.00, Inf]",0.999,"new_corallites_on_tip: no detectable change under 31C (HR=0.00, n.s.)",code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,HR 31C/28C [genet=c],Wald z,-0.59,1,8,0.637 hazard ratio,-36.3%,"[0.14, 2.85]",0.556,"new_corallites_on_tip: no detectable change under 31C (HR=0.64, n.s.)",code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,HR 31C/28C [genet=d],Wald z,-1.75,1,8,0.135 hazard ratio,-86.5%,"[0.01, 1.27]",0.080,"new_corallites_on_tip: no detectable change under 31C (HR=0.14, n.s.)",code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,-2.59,1,24,0.217 hazard ratio,-78.3%,"[0.07, 0.69]",0.009,"new_corallites_on_tip: delayed onset under 31C (HR=0.22, sig)",code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,LRT: genet main effect,LRT chi-sq,1.38,2,NA,NA,NA,NA,0.502,Genet main effect on new_corallites_on_tip healing: n.s.,code/14_morphology_kaplan.R
Survival,New corallites on tip,Cox PH,LRT: genet x treatment,LRT chi-sq,11.30,2,NA,NA,NA,NA,0.004,Genet x treatment on new_corallites_on_tip healing: sig,code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH,HR 31C/28C [genet=c],Wald z,1.49,1,8,5.463 hazard ratio,+446.4%,"[0.58, 51.33]",0.137,"pigment_over_wound: no detectable change under 31C (HR=5.46, n.s.)",code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH,HR 31C/28C [genet=d],Wald z,-0.00,1,8,0.000 hazard ratio,-100.0%,"[0.00, Inf]",0.999,"pigment_over_wound: no detectable change under 31C (HR=0.00, n.s.)",code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,0.71,1,24,1.604 hazard ratio,+60.4%,"[0.44, 5.86]",0.475,"pigment_over_wound: no detectable change under 31C (HR=1.60, n.s.)",code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH,LRT: genet main effect,LRT chi-sq,1.16,2,NA,NA,NA,NA,0.560,Genet main effect on pigment_over_wound healing: n.s.,code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH,LRT: genet x treatment,LRT chi-sq,13.28,2,NA,NA,NA,NA,0.001,Genet x treatment on pigment_over_wound healing: sig,code/14_morphology_kaplan.R
Survival,Pigment over wound,Cox PH (time-varying),tt(treatment) [genet=c (tt log(t+1))],Wald z,1.52,1,8,0.651 log-HR slope vs log(t+1),NA,"[-0.19, 1.49]",0.127,PH-corrected per-genet test (genet=c (tt log(t+1))): n.s. — original per-genet HR was inflated by PH violation. time-varying coefficient on treatment; HR is exp(coef * log(t+1)),code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,HR 31C/28C [genet=a],Wald z,0.51,1,8,1.440 hazard ratio,+44.0%,"[0.36, 5.83]",0.610,"polyp_in_hole: no detectable change under 31C (HR=1.44, n.s.)",code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,HR 31C/28C [genet=c],Wald z,0.27,1,8,1.209 hazard ratio,+20.9%,"[0.30, 4.88]",0.789,"polyp_in_hole: no detectable change under 31C (HR=1.21, n.s.)",code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,HR 31C/28C [genet=d],Wald z,0.55,1,8,1.523 hazard ratio,+52.3%,"[0.34, 6.88]",0.584,"polyp_in_hole: no detectable change under 31C (HR=1.52, n.s.)",code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,0.76,1,24,1.378 hazard ratio,+37.8%,"[0.60, 3.15]",0.447,"polyp_in_hole: no detectable change under 31C (HR=1.38, n.s.)",code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,LRT: genet main effect,LRT chi-sq,1.13,2,NA,NA,NA,NA,0.567,Genet main effect on polyp_in_hole healing: n.s.,code/14_morphology_kaplan.R
Survival,Polyp in hole,Cox PH,LRT: genet x treatment,LRT chi-sq,0.02,2,NA,NA,NA,NA,0.989,Genet x treatment on polyp_in_hole healing: n.s.,code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,HR 31C/28C [genet=a],Wald z,-1.32,1,8,0.312 hazard ratio,-68.8%,"[0.06, 1.77]",0.188,"tip_exist: no detectable change under 31C (HR=0.31, n.s.)",code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,HR 31C/28C [genet=c],Wald z,0.41,1,8,1.341 hazard ratio,+34.1%,"[0.33, 5.38]",0.679,"tip_exist: no detectable change under 31C (HR=1.34, n.s.)",code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,HR 31C/28C [genet=d],Wald z,-0.75,1,8,0.562 hazard ratio,-43.8%,"[0.12, 2.55]",0.455,"tip_exist: no detectable change under 31C (HR=0.56, n.s.)",code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,-0.90,1,24,0.666 hazard ratio,-33.4%,"[0.28, 1.61]",0.368,"tip_exist: no detectable change under 31C (HR=0.67, n.s.)",code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,LRT: genet main effect,LRT chi-sq,3.81,2,NA,NA,NA,NA,0.149,Genet main effect on tip_exist healing: n.s.,code/14_morphology_kaplan.R
Survival,Tip exist,Cox PH,LRT: genet x treatment,LRT chi-sq,2.38,2,NA,NA,NA,NA,0.304,Genet x treatment on tip_exist healing: n.s.,code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,HR 31C/28C [genet=a],Wald z,0.00,1,8,1.000 hazard ratio,+0.0%,"[0.25, 4.00]",1.000,"tip_extension: no detectable change under 31C (HR=1.00, n.s.)",code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,HR 31C/28C [genet=c],Wald z,-0.15,1,8,0.893 hazard ratio,-10.7%,"[0.19, 4.09]",0.884,"tip_extension: no detectable change under 31C (HR=0.89, n.s.)",code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,HR 31C/28C [genet=d],Wald z,-0.75,1,8,0.562 hazard ratio,-43.8%,"[0.12, 2.55]",0.455,"tip_extension: no detectable change under 31C (HR=0.56, n.s.)",code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,-0.51,1,24,0.804 hazard ratio,-19.6%,"[0.34, 1.87]",0.613,"tip_extension: no detectable change under 31C (HR=0.80, n.s.)",code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,LRT: genet main effect,LRT chi-sq,3.47,2,NA,NA,NA,NA,0.177,Genet main effect on tip_extension healing: n.s.,code/14_morphology_kaplan.R
Survival,Tip extension,Cox PH,LRT: genet x treatment,LRT chi-sq,0.93,2,NA,NA,NA,NA,0.629,Genet x treatment on tip_extension healing: n.s.,code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,HR 31C/28C [genet=a],Wald z,0.00,1,8,1.000 hazard ratio,+0.0%,"[0.25, 4.00]",1.000,"wound_smoothed: no detectable change under 31C (HR=1.00, n.s.)",code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,HR 31C/28C [genet=c],Wald z,0.75,1,8,1.781 hazard ratio,+78.1%,"[0.39, 8.09]",0.455,"wound_smoothed: no detectable change under 31C (HR=1.78, n.s.)",code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,HR 31C/28C [genet=d],Wald z,1.32,1,8,3.202 hazard ratio,+220.2%,"[0.57, 18.14]",0.188,"wound_smoothed: no detectable change under 31C (HR=3.20, n.s.)",code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,HR 31C/28C [overall (strata=thicket)],Wald z,1.15,1,24,1.670 hazard ratio,+67.0%,"[0.69, 4.01]",0.252,"wound_smoothed: no detectable change under 31C (HR=1.67, n.s.)",code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,LRT: genet main effect,LRT chi-sq,0.48,2,NA,NA,NA,NA,0.785,Genet main effect on wound_smoothed healing: n.s.,code/14_morphology_kaplan.R
Survival,Wound smoothed,Cox PH,LRT: genet x treatment,LRT chi-sq,1.11,2,NA,NA,NA,NA,0.574,Genet x treatment on wound_smoothed healing: n.s.,code/14_morphology_kaplan.R
Survival diagnostic,Hole in center,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,0.08,1,24,NA,NA,NA,0.771,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,New corallites on tip,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,3.56,1,16,NA,NA,NA,0.059,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,Pigment over wound,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,3.31,1,10,NA,NA,NA,0.069,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,Polyp in hole,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,0.08,1,24,NA,NA,NA,0.771,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,Tip exist,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,0.26,1,24,NA,NA,NA,0.613,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,Tip extension,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,2.55,1,22,NA,NA,NA,0.110,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Survival diagnostic,Wound smoothed,cox.zph (Schoenfeld),proportional-hazards test (treatment),cox.zph chi-sq,0.15,1,24,NA,NA,NA,0.700,PH assumption met (p>=0.05),code/14_morphology_kaplan.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,28 °C below mean ED50 (°C),reference value,7.41,NA,NA,7.405 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,31 °C below lowest-genet ED50 (°C),reference value,3.39,NA,NA,3.390 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,31 °C below mean ED50 (°C),reference value,4.41,NA,NA,4.405 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,acute ED50 CV (%),reference value,1.68,NA,NA,1.677 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,acute ED50 SD (°C),reference value,0.59,NA,NA,0.594 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,acute ED50 mean (°C),reference value,35.41,NA,NA,35.405 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,acute ED50 range (°C),reference value,2.20,NA,NA,2.203 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Thermal context (external benchmark),"A. pulchra acute Fv/Fm ED50 (Cunning et al. 2024, Mahana)",CBASS reference,n genets (Cunning),reference value,20.00,NA,NA,20.000 °C or count,NA,NA,NA,acute thermal-tolerance benchmark; 31C chronic is sublethal (below acute ED50),code/26_thermal_context.R
Time-series diagnostic,Color (D-scale),diagnostic,AR(1) temporal autocorrelation (LRT vs no-corr),LRT / Wald,0.00,1,NA,NA,NA,NA,1.000,no significant residual autocorrelation,code/23_timeseries_diagnostics.R
Time-series diagnostic,Color (D-scale),diagnostic,"nonlinearity of time (quadratic vs linear, LRT)",LRT / Wald,15.77,2,NA,NA,NA,NA,<0.001,trajectory is NONLINEAR — linear slope is an approximation,code/23_timeseries_diagnostics.R
Time-series diagnostic,Color (D-scale),diagnostic,random slope of time by coral (LRT vs intercept-only),LRT / Wald,83.98,2,NA,NA,NA,NA,<0.001,random slope improves fit (individual trajectories differ),code/23_timeseries_diagnostics.R
Time-series diagnostic,Color (D-scale),diagnostic,treatment×time robustness to AR(1),LRT / Wald,-10.08,NA,NA,NA,NA,NA,<0.001,"treatment×time p: base=1.76e-20, AR(1)=1.76e-20 — conclusion unchanged",code/23_timeseries_diagnostics.R
Time-series diagnostic,PAM Fv/Fm,diagnostic,AR(1) temporal autocorrelation (LRT vs no-corr),LRT / Wald,10.38,1,NA,NA,NA,NA,0.001,autocorrelation PRESENT (phi=-0.41); refit AR(1),code/23_timeseries_diagnostics.R
Time-series diagnostic,PAM Fv/Fm,diagnostic,"nonlinearity of time (quadratic vs linear, LRT)",LRT / Wald,9.91,2,NA,NA,NA,NA,0.007,trajectory is NONLINEAR — linear slope is an approximation,code/23_timeseries_diagnostics.R
Time-series diagnostic,PAM Fv/Fm,diagnostic,random slope of time by coral (LRT vs intercept-only),LRT / Wald,23.07,2,NA,NA,NA,NA,<0.001,random slope improves fit (individual trajectories differ),code/23_timeseries_diagnostics.R
Time-series diagnostic,PAM Fv/Fm,diagnostic,treatment×time robustness to AR(1),LRT / Wald,-6.93,NA,NA,NA,NA,NA,<0.001,"treatment×time p: base=1.37e-10, AR(1)=3.04e-11 — conclusion unchanged",code/23_timeseries_diagnostics.R
Time-series diagnostic,log symbionts (cross-sectional),diagnostic,"nonlinearity of time (quadratic vs linear, LRT)",LRT / Wald,8.70,2,NA,NA,NA,NA,0.013,trajectory is NONLINEAR — linear slope is an approximation,code/23_timeseries_diagnostics.R
