species,thicket ,id,wound,tank,sample,treatment,biopsy_day,plug_buoyant_weight_uncorrected,temp_plug,temp_fw,plug_ref_sw,plug_ref_fw,plug_ref_dry,initial_coral_buoyant_weigh_uncorrected,initial_temp_coral,initial_temp_fw,initial_ref_sw,initial_ref_fw,final_coral_weight_uncorrected,final_temp_coral,final_temp_fw,final_ref_sw,final_ref_fw,,
a. pulchra,d,122.0,no,9.0,gene/physio,28.0,15.0,3.3553,27.9,27.9,25.7784,26.203,47.395,5.079,27.8,27.8,25.776,26.2003,5.4336,27.9,27.9,25.7784,26.203,,
a. pulchra,a,173.0,no,9.0,gene/physio,28.0,15.0,3.2994,27.9,27.9,25.7784,26.203,47.395,4.9833,27.8,27.8,25.776,26.2003,5.3315,27.9,27.9,25.7784,26.203,,
a. pulchra,a,179.0,yes,6.0,gene/physio,28.0,15.0,3.3026,27.9,27.9,25.7784,26.203,47.395,5.1211,27.8,27.8,25.776,26.2003,5.5074,27.9,27.9,25.7784,26.203,,
a. pulchra,d,118.0,yes,9.0,gene/physio,28.0,15.0,3.1759,27.9,27.9,25.7784,26.203,47.395,5.0599,27.8,27.8,25.776,26.2003,5.4738,27.9,27.9,25.7784,26.203,,
a. pulchra,d,147.0,no,12.0,gene/physio,28.0,15.0,3.2524,27.9,27.9,25.7784,26.203,47.395,5.0598,27.8,27.8,25.776,26.2003,5.4722,27.9,27.9,25.7784,26.203,,
a. pulchra,a,169.0,no,6.0,gene/physio,28.0,15.0,3.2123,27.9,27.9,25.7784,26.203,47.395,5.1608,27.8,27.8,25.776,26.2003,5.6299,27.9,27.9,25.7784,26.203,,
a. pulchra,d,144.0,yes,12.0,gene/physio,28.0,15.0,3.3211,27.9,27.9,25.7784,26.203,47.395,4.6449,27.8,27.8,25.776,26.2003,4.9876,27.9,27.9,25.7784,26.203,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
