species,thicket ,id,wound,tank,sample,treatment,biopsy_day,plug_buoyant_weight_uncorrected,temp_plug,temp_fw,plug_ref_sw,plug_ref_fw,plug_ref_dry,den_fw,density_plug_ref,arag_density,density_sw,calculated_plug,initial_coral_buoyant_weigh_uncorrected,initial_temp_coral,initial_temp_fw,initial_ref_sw,initial_ref_fw,initial_ref_dry,initial_den_fw,initial_density_ref,arag_density,initial_density_sw,initial_calculated_weight,final_coral_weight_uncorrected,final_temp_coral,final_temp_fw,final_ref_sw,final_ref_fw,final_ref_dry,final_den_fw,final_density_ref,arag_density,final_density_sw,final_calculated_weight,initial minus calculated plug,final minus calculated plug,percent_growth_bw,g/day,,,
a. pulchra,a,174.0,yes,11.0,gene/physio,31.0,15.0,3.2409,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K16*K16)+(0.000007*K16)+1.0001),=(N16*O16)/(N16-M16),2.92999999999999,=(P16*(N16-L16)/N16),=I16/(1-(R16/Q16)),5.1638,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V16*V16)+(0.000007*V16)+1.0001),=(Y16*Z16)/(Y16-X16),2.93,=(AA16*(Y16-W16)/Y16),=T16/(1-(AC16/AB16)),5.3491,29.7,29.7,25.7853,26.216,47.395,=((-0.000005*AG16*AG16)+(0.000007*AG16)+1.0001),=(AJ16*AK16)/(AJ16-AI16),2.93,=(AL16*(AJ16-AH16)/AJ16),=AE16/(1-(AN16/AM16)),=AD16-S16,=AO16-S16,=((AQ16-AP16)/AP16)*100,=(AQ16-AP16)/15,,,
a. pulchra,d,113.0,yes,3.0,gene/physio,28.0,15.0,3.2994,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K17*K17)+(0.000007*K17)+1.0001),=(N17*O17)/(N17-M17),2.93,=(P17*(N17-L17)/N17),=I17/(1-(R17/Q17)),5.3118,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V17*V17)+(0.000007*V17)+1.0001),=(Y17*Z17)/(Y17-X17),2.93,=(AA17*(Y17-W17)/Y17),=T17/(1-(AC17/AB17)),5.5117,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG17*AG17)+(0.000007*AG17)+1.0001),=(AJ17*AK17)/(AJ17-AI17),2.93,=(AL17*(AJ17-AH17)/AJ17),=AE17/(1-(AN17/AM17)),=AD17-S17,=AO17-S17,=((AQ17-AP17)/AP17)*100,=(AQ17-AP17)/15,,,
a. pulchra,d,110.0,yes,10.0,gene/physio,31.0,15.0,3.2578,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K18*K18)+(0.000007*K18)+1.0001),=(N18*O18)/(N18-M18),2.92999999999999,=(P18*(N18-L18)/N18),=I18/(1-(R18/Q18)),4.9244,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V18*V18)+(0.000007*V18)+1.0001),=(Y18*Z18)/(Y18-X18),2.93,=(AA18*(Y18-W18)/Y18),=T18/(1-(AC18/AB18)),5.092,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG18*AG18)+(0.000007*AG18)+1.0001),=(AJ18*AK18)/(AJ18-AI18),2.93,=(AL18*(AJ18-AH18)/AJ18),=AE18/(1-(AN18/AM18)),=AD18-S18,=AO18-S18,=((AQ18-AP18)/AP18)*100,=(AQ18-AP18)/15,,,
a. pulchra,d,126.0,yes,5.0,gene/physio,31.0,15.0,3.125,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K19*K19)+(0.000007*K19)+1.0001),=(N19*O19)/(N19-M19),2.93,=(P19*(N19-L19)/N19),=I19/(1-(R19/Q19)),4.6596,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V19*V19)+(0.000007*V19)+1.0001),=(Y19*Z19)/(Y19-X19),2.93,=(AA19*(Y19-W19)/Y19),=T19/(1-(AC19/AB19)),4.8179,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG19*AG19)+(0.000007*AG19)+1.0001),=(AJ19*AK19)/(AJ19-AI19),2.93,=(AL19*(AJ19-AH19)/AJ19),=AE19/(1-(AN19/AM19)),=AD19-S19,=AO19-S19,=((AQ19-AP19)/AP19)*100,=(AQ19-AP19)/15,,,
a. pulchra,a,178.0,no,10.0,gene/physio,31.0,15.0,3.1305,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K20*K20)+(0.000007*K20)+1.0001),=(N20*O20)/(N20-M20),2.92999999999999,=(P20*(N20-L20)/N20),=I20/(1-(R20/Q20)),4.6468,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V20*V20)+(0.000007*V20)+1.0001),=(Y20*Z20)/(Y20-X20),2.93,=(AA20*(Y20-W20)/Y20),=T20/(1-(AC20/AB20)),4.8046,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG20*AG20)+(0.000007*AG20)+1.0001),=(AJ20*AK20)/(AJ20-AI20),2.93,=(AL20*(AJ20-AH20)/AJ20),=AE20/(1-(AN20/AM20)),=AD20-S20,=AO20-S20,=((AQ20-AP20)/AP20)*100,=(AQ20-AP20)/15,,,
a. pulchra,a,170.0,yes,5.0,gene/physio,31.0,15.0,3.2124,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K21*K21)+(0.000007*K21)+1.0001),=(N21*O21)/(N21-M21),2.93,=(P21*(N21-L21)/N21),=I21/(1-(R21/Q21)),5.0746,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V21*V21)+(0.000007*V21)+1.0001),=(Y21*Z21)/(Y21-X21),2.93,=(AA21*(Y21-W21)/Y21),=T21/(1-(AC21/AB21)),5.2699,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG21*AG21)+(0.000007*AG21)+1.0001),=(AJ21*AK21)/(AJ21-AI21),2.93,=(AL21*(AJ21-AH21)/AJ21),=AE21/(1-(AN21/AM21)),=AD21-S21,=AO21-S21,=((AQ21-AP21)/AP21)*100,=(AQ21-AP21)/15,,,
a. pulchra,c,119.0,no,10.0,gene/physio,31.0,15.0,3.2181,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K22*K22)+(0.000007*K22)+1.0001),=(N22*O22)/(N22-M22),2.92999999999999,=(P22*(N22-L22)/N22),=I22/(1-(R22/Q22)),5.7508,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V22*V22)+(0.000007*V22)+1.0001),=(Y22*Z22)/(Y22-X22),2.93,=(AA22*(Y22-W22)/Y22),=T22/(1-(AC22/AB22)),6.0171,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG22*AG22)+(0.000007*AG22)+1.0001),=(AJ22*AK22)/(AJ22-AI22),2.93,=(AL22*(AJ22-AH22)/AJ22),=AE22/(1-(AN22/AM22)),=AD22-S22,=AO22-S22,=((AQ22-AP22)/AP22)*100,=(AQ22-AP22)/15,,,
a. pulchra,c,139.0,no,3.0,gene/physio,28.0,15.0,3.2492,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K23*K23)+(0.000007*K23)+1.0001),=(N23*O23)/(N23-M23),2.93,=(P23*(N23-L23)/N23),=I23/(1-(R23/Q23)),5.9612,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V23*V23)+(0.000007*V23)+1.0001),=(Y23*Z23)/(Y23-X23),2.93,=(AA23*(Y23-W23)/Y23),=T23/(1-(AC23/AB23)),6.2489,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG23*AG23)+(0.000007*AG23)+1.0001),=(AJ23*AK23)/(AJ23-AI23),2.93,=(AL23*(AJ23-AH23)/AJ23),=AE23/(1-(AN23/AM23)),=AD23-S23,=AO23-S23,=((AQ23-AP23)/AP23)*100,=(AQ23-AP23)/15,,,
a. pulchra,d,120.0,no,10.0,gene/physio,31.0,15.0,3.2976,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K24*K24)+(0.000007*K24)+1.0001),=(N24*O24)/(N24-M24),2.92999999999999,=(P24*(N24-L24)/N24),=I24/(1-(R24/Q24)),5.3753,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V24*V24)+(0.000007*V24)+1.0001),=(Y24*Z24)/(Y24-X24),2.93,=(AA24*(Y24-W24)/Y24),=T24/(1-(AC24/AB24)),5.5954,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG24*AG24)+(0.000007*AG24)+1.0001),=(AJ24*AK24)/(AJ24-AI24),2.93,=(AL24*(AJ24-AH24)/AJ24),=AE24/(1-(AN24/AM24)),=AD24-S24,=AO24-S24,=((AQ24-AP24)/AP24)*100,=(AQ24-AP24)/15,,,
a. pulchra,c,116.0,yes,11.0,gene/physio,31.0,15.0,3.143,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K25*K25)+(0.000007*K25)+1.0001),=(N25*O25)/(N25-M25),2.92999999999999,=(P25*(N25-L25)/N25),=I25/(1-(R25/Q25)),5.7029,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V25*V25)+(0.000007*V25)+1.0001),=(Y25*Z25)/(Y25-X25),2.93,=(AA25*(Y25-W25)/Y25),=T25/(1-(AC25/AB25)),5.9871,29.7,29.7,25.7853,26.216,47.395,=((-0.000005*AG25*AG25)+(0.000007*AG25)+1.0001),=(AJ25*AK25)/(AJ25-AI25),2.93,=(AL25*(AJ25-AH25)/AJ25),=AE25/(1-(AN25/AM25)),=AD25-S25,=AO25-S25,=((AQ25-AP25)/AP25)*100,=(AQ25-AP25)/15,,,
a. pulchra,c,133.0,yes,4.0,gene/physio,31.0,15.0,3.0,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K26*K26)+(0.000007*K26)+1.0001),=(N26*O26)/(N26-M26),2.93,=(P26*(N26-L26)/N26),=I26/(1-(R26/Q26)),5.1112,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V26*V26)+(0.000007*V26)+1.0001),=(Y26*Z26)/(Y26-X26),2.93,=(AA26*(Y26-W26)/Y26),=T26/(1-(AC26/AB26)),5.3464,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG26*AG26)+(0.000007*AG26)+1.0001),=(AJ26*AK26)/(AJ26-AI26),2.93,=(AL26*(AJ26-AH26)/AJ26),=AE26/(1-(AN26/AM26)),=AD26-S26,=AO26-S26,=((AQ26-AP26)/AP26)*100,=(AQ26-AP26)/15,,,
a. pulchra,d,150.0,no,4.0,gene/physio,31.0,15.0,3.0654,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K27*K27)+(0.000007*K27)+1.0001),=(N27*O27)/(N27-M27),2.93,=(P27*(N27-L27)/N27),=I27/(1-(R27/Q27)),4.7156,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V27*V27)+(0.000007*V27)+1.0001),=(Y27*Z27)/(Y27-X27),2.93,=(AA27*(Y27-W27)/Y27),=T27/(1-(AC27/AB27)),4.9027,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG27*AG27)+(0.000007*AG27)+1.0001),=(AJ27*AK27)/(AJ27-AI27),2.93,=(AL27*(AJ27-AH27)/AJ27),=AE27/(1-(AN27/AM27)),=AD27-S27,=AO27-S27,=((AQ27-AP27)/AP27)*100,=(AQ27-AP27)/15,,,
a. pulchra,c,125.0,no,12.0,gene/physio,28.0,15.0,3.2908,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K28*K28)+(0.000007*K28)+1.0001),=(N28*O28)/(N28-M28),2.92999999999999,=(P28*(N28-L28)/N28),=I28/(1-(R28/Q28)),6.678,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V28*V28)+(0.000007*V28)+1.0001),=(Y28*Z28)/(Y28-X28),2.93,=(AA28*(Y28-W28)/Y28),=T28/(1-(AC28/AB28)),7.0813,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG28*AG28)+(0.000007*AG28)+1.0001),=(AJ28*AK28)/(AJ28-AI28),2.92999999999999,=(AL28*(AJ28-AH28)/AJ28),=AE28/(1-(AN28/AM28)),=AD28-S28,=AO28-S28,=((AQ28-AP28)/AP28)*100,=(AQ28-AP28)/15,,,
a. pulchra,c,117.0,yes,6.0,gene/physio,28.0,15.0,3.2786,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K29*K29)+(0.000007*K29)+1.0001),=(N29*O29)/(N29-M29),2.93,=(P29*(N29-L29)/N29),=I29/(1-(R29/Q29)),5.6511,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V29*V29)+(0.000007*V29)+1.0001),=(Y29*Z29)/(Y29-X29),2.93,=(AA29*(Y29-W29)/Y29),=T29/(1-(AC29/AB29)),5.9391,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG29*AG29)+(0.000007*AG29)+1.0001),=(AJ29*AK29)/(AJ29-AI29),2.93,=(AL29*(AJ29-AH29)/AJ29),=AE29/(1-(AN29/AM29)),=AD29-S29,=AO29-S29,=((AQ29-AP29)/AP29)*100,=(AQ29-AP29)/15,,,
a. pulchra,a,152.0,yes,4.0,gene/physio,31.0,15.0,3.2968,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K30*K30)+(0.000007*K30)+1.0001),=(N30*O30)/(N30-M30),2.93,=(P30*(N30-L30)/N30),=I30/(1-(R30/Q30)),5.123,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V30*V30)+(0.000007*V30)+1.0001),=(Y30*Z30)/(Y30-X30),2.93,=(AA30*(Y30-W30)/Y30),=T30/(1-(AC30/AB30)),5.3464,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG30*AG30)+(0.000007*AG30)+1.0001),=(AJ30*AK30)/(AJ30-AI30),2.93,=(AL30*(AJ30-AH30)/AJ30),=AE30/(1-(AN30/AM30)),=AD30-S30,=AO30-S30,=((AQ30-AP30)/AP30)*100,=(AQ30-AP30)/15,,,
a. pulchra,c,130.0,yes,12.0,gene/physio,28.0,15.0,3.0129,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K31*K31)+(0.000007*K31)+1.0001),=(N31*O31)/(N31-M31),2.92999999999999,=(P31*(N31-L31)/N31),=I31/(1-(R31/Q31)),6.2339,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V31*V31)+(0.000007*V31)+1.0001),=(Y31*Z31)/(Y31-X31),2.93,=(AA31*(Y31-W31)/Y31),=T31/(1-(AC31/AB31)),6.6439,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG31*AG31)+(0.000007*AG31)+1.0001),=(AJ31*AK31)/(AJ31-AI31),2.92999999999999,=(AL31*(AJ31-AH31)/AJ31),=AE31/(1-(AN31/AM31)),=AD31-S31,=AO31-S31,=((AQ31-AP31)/AP31)*100,=(AQ31-AP31)/15,,,
