normal density (cells/cm^2),calculated_SA_standard_curve,slurry volume (mL),average*10000 (cells/mL),biopsy_day,treatment,zoox_average,Coral ID,calculated_SA_standard_curve,slurry volume (mL)
=(D30*C30)/B30,5.2958,10.0,=(G30*10000),3.0,28.0,49.8125,187.0,5.2958,10.0
=(D31*C31)/B31,3.1171,10.0,=(G31*10000),3.0,28.0,43.8125,190.0,3.1171,10.0
=(D32*C32)/B32,3.6226,10.0,=(G32*10000),3.0,28.0,45.6875,194.0,3.6226,10.0
=(D33*C33)/B33,4.8601,10.0,=(G33*10000),3.0,28.0,33.0,201.0,4.8601,10.0
=(D34*C34)/B34,3.425,10.0,=(G34*10000),3.0,28.0,39.4375,208.0,3.425,10.0
=(D35*C35)/B35,6.0337,10.0,=(G35*10000),3.0,28.0,51.1875,218.0,6.0337,10.0
=(D36*C36)/B36,4.558,10.0,=(G36*10000),3.0,28.0,44.375,220.0,4.558,10.0
=(D37*C37)/B37,3.9189,10.0,=(G37*10000),3.0,28.0,45.375,223.0,3.9189,10.0
=(D38*C38)/B38,3.9712,10.0,=(G38*10000),3.0,28.0,18.875,229.0,3.9712,10.0
=(D39*C39)/B39,4.5812,10.5,=(G39*10000),3.0,28.0,44.4375,242.0,4.5812,10.5
=(D40*C40)/B40,5.0344,10.0,=(G40*10000),3.0,28.0,57.1875,245.0,5.0344,10.0
=(D41*C41)/B41,4.5812,10.5,=(G41*10000),3.0,28.0,36.375,247.0,4.5812,10.5
=(D42*C42)/B42,4.9589,10.0,=(G42*10000),3.0,28.0,47.8125,250.0,4.9589,10.0
=(D43*C43)/B43,6.0976,10.0,=(G43*10000),3.0,28.0,72.0,271.0,6.0976,10.0
=(D44*C44)/B44,4.9531,10.0,=(G44*10000),3.0,28.0,44.875,272.0,4.9531,10.0
=(D45*C45)/B45,5.6096,10.0,=(G45*10000),3.0,28.0,28.3125,273.0,5.6096,10.0
=(D46*C46)/B46,5.3598,10.5,=(G46*10000),3.0,28.0,58.1875,281.0,5.3598,10.5
=(D47*C47)/B47,3.9886,10.0,=(G47*10000),3.0,28.0,47.6875,282.0,3.9886,10.0
=(D48*C48)/B48,5.6096,10.5,=(G48*10000),3.0,28.0,44.5625,290.0,5.6096,10.5
=(D49*C49)/B49,5.6851,10.0,=(G49*10000),3.0,28.0,43.75,301.0,5.6851,10.0
=(D50*C50)/B50,4.2268,11.0,=(G50*10000),10.0,28.0,26.0625,114.0,4.2268,11.0
=(D51*C51)/B51,5.9524,10.0,=(G51*10000),10.0,28.0,55.5625,135.0,5.9524,10.0
=(D52*C52)/B52,5.4179,10.0,=(G52*10000),10.0,28.0,47.8125,137.0,5.4179,10.0
=(D53*C53)/B53,3.6168,10.0,=(G53*10000),10.0,28.0,29.5,189.0,3.6168,10.0
=(D54*C54)/B54,3.5064,10.0,=(G54*10000),10.0,28.0,31.4375,191.0,3.5064,10.0
=(D55*C55)/B55,3.6458,10.0,=(G55*10000),10.0,28.0,34.6875,196.0,3.6458,10.0
=(D56*C56)/B56,3.9189,10.0,=(G56*10000),10.0,28.0,50.9375,199.0,3.9189,10.0
=(D57*C57)/B57,4.8949,10.0,=(G57*10000),10.0,28.0,40.125,202.0,4.8949,10.0
=(D58*C58)/B58,5.8885,10.0,=(G58*10000),10.0,28.0,52.0625,204.0,5.8885,10.0
=(D59*C59)/B59,6.6089,10.0,=(G59*10000),10.0,28.0,43.125,213.0,6.6089,10.0
=(D60*C60)/B60,4.006,10.0,=(G60*10000),10.0,28.0,40.6875,217.0,4.006,10.0
=(D61*C61)/B61,3.1926,10.5,=(G61*10000),10.0,28.0,35.625,232.0,3.1926,10.5
=(D62*C62)/B62,5.383,10.0,=(G62*10000),10.0,28.0,46.0,237.0,5.383,10.0
=(D63*C63)/B63,5.0634,10.0,=(G63*10000),10.0,28.0,53.8125,243.0,5.0634,10.0
=(D64*C64)/B64,4.6103,10.0,=(G64*10000),10.0,28.0,38.0625,248.0,4.6103,10.0
=(D65*C65)/B65,4.0002,10.0,=(G65*10000),10.0,28.0,52.25,252.0,4.0002,10.0
=(D66*C66)/B66,4.0118,10.0,=(G66*10000),10.0,28.0,57.5625,253.0,4.0118,10.0
=(D67*C67)/B67,4.8601,10.0,=(G67*10000),10.0,28.0,50.375,258.0,4.8601,10.0
=(D68*C68)/B68,5.0576,10.0,=(G68*10000),10.0,28.0,67.3125,267.0,5.0576,10.0
=(D69*C69)/B69,4.4999,10.5,=(G69*10000),10.0,28.0,56.0,275.0,4.4999,10.5
=(D70*C70)/B70,4.9705,10.0,=(G70*10000),10.0,28.0,36.625,279.0,4.9705,10.0
=(D71*C71)/B71,4.7788,10.0,=(G71*10000),10.0,28.0,44.0,285.0,4.7788,10.0
=(D72*C72)/B72,6.3068,10.0,=(G72*10000),10.0,28.0,56.8125,291.0,6.3068,10.0
=(D73*C73)/B73,4.6567,10.0,=(G73*10000),10.0,28.0,48.5625,292.0,4.6567,10.0
=(D74*C74)/B74,3.7911,10.0,=(G74*10000),15.0,28.0,39.0,113.0,3.7911,10.0
=(D75*C75)/B75,3.8666,10.0,=(G75*10000),15.0,28.0,49.1875,117.0,3.8666,10.0
=(D76*C76)/B76,3.7213,10.0,=(G76*10000),15.0,28.0,37.8125,118.0,3.7213,10.0
=(D77*C77)/B77,5.8885,10.0,=(G77*10000),15.0,28.0,65.875,121.0,5.8885,10.0
=(D78*C78)/B78,4.2442,10.0,=(G78*10000),15.0,28.0,32.125,122.0,4.2442,10.0
=(D79*C79)/B79,5.1041,10.0,=(G79*10000),15.0,28.0,35.875,123.0,5.1041,10.0
=(D80*C80)/B80,4.2791,10.0,=(G80*10000),15.0,28.0,60.5,125.0,4.2791,10.0
=(D81*C81)/B81,4.7323,10.0,=(G81*10000),15.0,28.0,31.875,129.0,4.7323,10.0
=(D82*C82)/B82,5.6561,10.0,=(G82*10000),15.0,28.0,51.25,130.0,5.6561,10.0
=(D83*C83)/B83,4.4069,10.0,=(G83*10000),15.0,28.0,39.25,131.0,4.4069,10.0
=(D84*C84)/B84,4.4883,10.0,=(G84*10000),15.0,28.0,47.1875,139.0,4.4883,10.0
=(D85*C85)/B85,4.9182,10.0,=(G85*10000),15.0,28.0,36.75,144.0,4.9182,10.0
=(D86*C86)/B86,3.669,10.0,=(G86*10000),15.0,28.0,25.1875,145.0,3.669,10.0
=(D87*C87)/B87,4.7032,10.0,=(G87*10000),15.0,28.0,43.75,146.0,4.7032,10.0
=(D88*C88)/B88,4.68,10.0,=(G88*10000),15.0,28.0,44.1875,147.0,4.68,10.0
=(D89*C89)/B89,3.0648,10.0,=(G89*10000),15.0,28.0,33.25,156.0,3.0648,10.0
=(D90*C90)/B90,3.1926,10.0,=(G90*10000),15.0,28.0,37.3125,162.0,3.1926,10.0
=(D91*C91)/B91,4.8427,10.0,=(G91*10000),15.0,28.0,36.375,166.0,4.8427,10.0
=(D92*C92)/B92,6.4637,10.0,=(G92*10000),15.0,28.0,51.3125,169.0,6.4637,10.0
=(D93*C93)/B93,4.7148,10.0,=(G93*10000),15.0,28.0,25.0,172.0,4.7148,10.0
=(D94*C94)/B94,3.4192,10.0,=(G94*10000),15.0,28.0,36.625,173.0,3.4192,10.0
=(D95*C95)/B95,2.8673,10.0,=(G95*10000),15.0,28.0,32.625,176.0,2.8673,10.0
=(D96*C96)/B96,3.425,10.0,=(G96*10000),15.0,28.0,36.875,177.0,3.425,10.0
=(D97*C97)/B97,4.0118,10.0,=(G97*10000),15.0,28.0,58.75,179.0,4.0118,10.0
=(D98*C98)/B98,3.8201,10.0,=(G98*10000),1.0,31.0,26.0,171.0,3.8201,10.0
=(D99*C99)/B99,3.3785,10.0,=(G99*10000),1.0,31.0,39.875,181.0,3.3785,10.0
=(D100*C100)/B100,4.7788,10.0,=(G100*10000),1.0,31.0,27.1875,182.0,4.7788,10.0
=(D101*C101)/B101,5.1099,10.0,=(G101*10000),1.0,31.0,18.375,183.0,5.1099,10.0
=(D102*C102)/B102,6.2196,10.0,=(G102*10000),1.0,31.0,17.75,188.0,6.2196,10.0
=(D103*C103)/B103,3.7155,10.0,=(G103*10000),1.0,31.0,20.625,197.0,3.7155,10.0
=(D104*C104)/B104,3.9886,10.0,=(G104*10000),1.0,31.0,27.125,198.0,3.9886,10.0
=(D105*C105)/B105,5.0518,10.0,=(G105*10000),1.0,31.0,34.0625,200.0,5.0518,10.0
=(D106*C106)/B106,3.2798,10.0,=(G106*10000),1.0,31.0,23.5,210.0,3.2798,10.0
=(D107*C107)/B107,5.0576,10.0,=(G107*10000),1.0,31.0,32.0625,224.0,5.0576,10.0
=(D108*C108)/B108,5.2203,10.0,=(G108*10000),1.0,31.0,32.75,226.0,5.2203,10.0
=(D109*C109)/B109,4.6277,10.0,=(G109*10000),1.0,31.0,39.375,228.0,4.6277,10.0
=(D110*C110)/B110,4.3488,10.0,=(G110*10000),1.0,31.0,36.0,244.0,4.3488,10.0
=(D111*C111)/B111,4.1106,10.0,=(G111*10000),1.0,31.0,47.0625,249.0,4.1106,10.0
=(D112*C112)/B112,6.1673,10.0,=(G112*10000),1.0,31.0,29.75,254.0,6.1673,10.0
=(D113*C113)/B113,7.9394,10.0,=(G113*10000),1.0,31.0,45.75,256.0,7.9394,10.0
=(D114*C114)/B114,3.2914,10.0,=(G114*10000),1.0,31.0,18.75,259.0,3.2914,10.0
=(D115*C115)/B115,4.7265,10.0,=(G115*10000),1.0,31.0,66.25,262.0,4.7265,10.0
=(D116*C116)/B116,4.4766,10.0,=(G116*10000),1.0,31.0,35.9375,263.0,4.4766,10.0
=(D117*C117)/B117,4.7148,10.0,=(G117*10000),1.0,31.0,34.3125,264.0,4.7148,10.0
=(D118*C118)/B118,4.3314,10.0,=(G118*10000),1.0,31.0,45.0,274.0,4.3314,10.0
=(D119*C119)/B119,4.128,10.0,=(G119*10000),1.0,31.0,38.1875,276.0,4.128,10.0
=(D120*C120)/B120,4.9647,10.0,=(G120*10000),1.0,31.0,46.9375,278.0,4.9647,10.0
=(D121*C121)/B121,4.587,10.0,=(G121*10000),1.0,31.0,34.875,300.0,4.587,10.0
=(D122*C122)/B122,5.8071,10.0,=(G122*10000),3.0,31.0,24.125,112.0,5.8071,10.0
=(D123*C123)/B123,3.4715,10.0,=(G123*10000),3.0,31.0,11.8125,138.0,3.4715,10.0
=(D124*C124)/B124,4.9124,10.0,=(G124*10000),3.0,31.0,19.3125,153.0,4.9124,10.0
=(D125*C125)/B125,3.0822,10.0,=(G125*10000),3.0,31.0,20.5,155.0,3.0822,10.0
=(D126*C126)/B126,3.977,10.0,=(G126*10000),3.0,31.0,37.5,168.0,3.977,10.0
=(D127*C127)/B127,5.993,10.0,=(G127*10000),3.0,31.0,17.75,185.0,5.993,10.0
=(D128*C128)/B128,4.5638,10.0,=(G128*10000),3.0,31.0,14.0625,193.0,4.5638,10.0
=(D129*C129)/B129,5.3423,10.0,=(G129*10000),3.0,31.0,31.625,206.0,5.3423,10.0
=(D130*C130)/B130,4.1978,10.0,=(G130*10000),3.0,31.0,27.875,211.0,4.1978,10.0
=(D131*C131)/B131,3.7271,10.0,=(G131*10000),3.0,31.0,72.75,212.0,3.7271,10.0
=(D132*C132)/B132,5.2552,10.0,=(G132*10000),3.0,31.0,31.375,216.0,5.2552,10.0
=(D133*C133)/B133,3.9305,10.0,=(G133*10000),3.0,31.0,16.6875,219.0,3.9305,10.0
=(D134*C134)/B134,3.7678,10.0,=(G134*10000),3.0,31.0,20.0,221.0,3.7678,10.0
=(D135*C135)/B135,5.0518,10.5,=(G135*10000),3.0,31.0,27.6875,236.0,5.0518,10.5
=(D136*C136)/B136,4.9995,10.0,=(G136*10000),3.0,31.0,26.125,239.0,4.9995,10.0
=(D137*C137)/B137,4.4185,10.0,=(G137*10000),3.0,31.0,13.875,241.0,4.4185,10.0
=(D138*C138)/B138,4.5057,10.0,=(G138*10000),3.0,31.0,44.4375,255.0,4.5057,10.0
=(D139*C139)/B139,5.5224,10.0,=(G139*10000),3.0,31.0,48.1875,265.0,5.5224,10.0
=(D140*C140)/B140,5.72,10.0,=(G140*10000),3.0,31.0,35.3125,266.0,5.72,10.0
=(D141*C141)/B141,3.6923,10.0,=(G141*10000),3.0,31.0,23.375,270.0,3.6923,10.0
=(D142*C142)/B142,4.2268,10.0,=(G142*10000),3.0,31.0,40.6875,284.0,4.2268,10.0
=(D143*C143)/B143,4.1745,10.0,=(G143*10000),3.0,31.0,32.75,289.0,4.1745,10.0
=(D144*C144)/B144,4.5173,10.25,=(G144*10000),3.0,31.0,38.0625,295.0,4.5173,10.25
=(D145*C145)/B145,4.9821,10.0,=(G145*10000),3.0,31.0,42.375,297.0,4.9821,10.0
=(D146*C146)/B146,3.1752,10.0,=(G146*10000),10.0,31.0,8.5625,136.0,3.1752,10.0
=(D147*C147)/B147,4.6742,10.0,=(G147*10000),10.0,31.0,7.375,142.0,4.6742,10.0
=(D148*C148)/B148,5.3191,10.0,=(G148*10000),10.0,31.0,10.3125,158.0,5.3191,10.0
=(D149*C149)/B149,6.8297,10.0,=(G149*10000),10.0,31.0,7.0625,180.0,6.8297,10.0
=(D150*C150)/B150,3.7271,10.0,=(G150*10000),10.0,31.0,7.1875,184.0,3.7271,10.0
=(D151*C151)/B151,5.29,10.0,=(G151*10000),10.0,31.0,15.0,186.0,5.29,10.0
=(D152*C152)/B152,5.7432,10.0,=(G152*10000),10.0,31.0,15.8125,195.0,5.7432,10.0
=(D153*C153)/B153,5.1738,10.0,=(G153*10000),10.0,31.0,17.3125,205.0,5.1738,10.0
=(D154*C154)/B154,5.4818,10.0,=(G154*10000),10.0,31.0,13.375,207.0,5.4818,10.0
=(D155*C155)/B155,5.1448,10.0,=(G155*10000),10.0,31.0,13.9375,214.0,5.1448,10.0
=(D156*C156)/B156,4.3779,10.0,=(G156*10000),10.0,31.0,37.1875,215.0,4.3779,10.0
=(D157*C157)/B157,5.1041,10.0,=(G157*10000),10.0,31.0,21.625,225.0,5.1041,10.0
=(D158*C158)/B158,5.7548,10.0,=(G158*10000),10.0,31.0,13.1875,230.0,5.7548,10.0
=(D159*C159)/B159,5.3539,10.0,=(G159*10000),10.0,31.0,3.5625,233.0,5.3539,10.0
=(D160*C160)/B160,7.1841,10.0,=(G160*10000),10.0,31.0,9.0,235.0,7.1841,10.0
=(D161*C161)/B161,4.6335,11.5,=(G161*10000),10.0,31.0,23.5625,240.0,4.6335,11.5
=(D162*C162)/B162,4.587,10.0,=(G162*10000),10.0,31.0,30.125,251.0,4.587,10.0
=(D163*C163)/B163,5.9756,10.0,=(G163*10000),10.0,31.0,40.875,260.0,5.9756,10.0
=(D164*C164)/B164,5.9059,10.0,=(G164*10000),10.0,31.0,55.375,269.0,5.9059,10.0
=(D165*C165)/B165,3.8492,10.0,=(G165*10000),10.0,31.0,20.375,277.0,3.8492,10.0
=(D166*C166)/B166,5.6561,10.0,=(G166*10000),10.0,31.0,24.4375,283.0,5.6561,10.0
=(D167*C167)/B167,6.2719,10.0,=(G167*10000),10.0,31.0,23.3125,286.0,6.2719,10.0
=(D168*C168)/B168,5.5805,10.0,=(G168*10000),10.0,31.0,35.0625,293.0,5.5805,10.0
=(D169*C169)/B169,4.0525,10.0,=(G169*10000),10.0,31.0,40.8125,299.0,4.0525,10.0
=(D170*C170)/B170,5.0634,10.0,=(G170*10000),15.0,31.0,4.3125,110.0,5.0634,10.0
=(D171*C171)/B171,4.8194,10.0,=(G171*10000),15.0,31.0,22.25,115.0,4.8194,10.0
=(D172*C172)/B172,5.5805,10.0,=(G172*10000),15.0,31.0,17.5,116.0,5.5805,10.0
=(D173*C173)/B173,5.4295,10.0,=(G173*10000),15.0,31.0,25.5625,119.0,5.4295,10.0
=(D174*C174)/B174,3.303,10.0,=(G174*10000),15.0,31.0,0.875,120.0,3.303,10.0
=(D175*C175)/B175,4.0409,10.0,=(G175*10000),15.0,31.0,11.1875,124.0,4.0409,10.0
=(D176*C176)/B176,4.0641,10.0,=(G176*10000),15.0,31.0,1.8125,126.0,4.0641,10.0
=(D177*C177)/B177,3.8898,10.0,=(G177*10000),15.0,31.0,20.0625,127.0,3.8898,10.0
=(D178*C178)/B178,4.6742,10.0,=(G178*10000),15.0,31.0,5.9375,128.0,4.6742,10.0
=(D179*C179)/B179,4.924,10.0,=(G179*10000),15.0,31.0,13.125,132.0,4.924,10.0
=(D180*C180)/B180,4.4418,10.0,=(G180*10000),15.0,31.0,17.3125,133.0,4.4418,10.0
=(D181*C181)/B181,4.7207,10.0,=(G181*10000),15.0,31.0,12.8125,141.0,4.7207,10.0
=(D182*C182)/B182,4.9008,10.0,=(G182*10000),15.0,31.0,3.6875,143.0,4.9008,10.0
=(D183*C183)/B183,4.5754,10.0,=(G183*10000),15.0,31.0,10.9375,149.0,4.5754,10.0
=(D184*C184)/B184,4.4883,10.0,=(G184*10000),15.0,31.0,4.4375,150.0,4.4883,10.0
=(D185*C185)/B185,4.4999,10.0,=(G185*10000),15.0,31.0,8.375,152.0,4.4999,10.0
=(D186*C186)/B186,4.5464,10.0,=(G186*10000),15.0,31.0,1.5,154.0,4.5464,10.0
=(D187*C187)/B187,4.2617,10.0,=(G187*10000),15.0,31.0,0.5625,161.0,4.2617,10.0
=(D188*C188)/B188,3.8492,10.0,=(G188*10000),15.0,31.0,24.9375,163.0,3.8492,10.0
=(D189*C189)/B189,6.7483,10.0,=(G189*10000),15.0,31.0,2.25,165.0,6.7483,10.0
=(D190*C190)/B190,5.0751,10.0,=(G190*10000),15.0,31.0,0.8125,170.0,5.0751,10.0
=(D191*C191)/B191,4.0409,10.0,=(G191*10000),15.0,31.0,13.9375,174.0,4.0409,10.0
=(D192*C192)/B192,3.9131,10.0,=(G192*10000),15.0,31.0,0.75,175.0,3.9131,10.0
=(D193*C193)/B193,4.25,10.0,=(G193*10000),15.0,31.0,2.4375,178.0,4.25,10.0
